car name,displacement,horsepower,weight,acceleration,model year,origin,cylinders,mpg
chevrolet chevelle malibu,307,130,3504,12,70,1,8,18
buick skylark 320,350,165,3693,11.5,70,1,8,15
plymouth satellite,318,150,3436,11,70,1,8,18
amc rebel sst,304,150,3433,12,70,1,8,16
ford torino,302,140,3449,10.5,70,1,8,17
ford galaxie 500,429,198,4341,10,70,1,8,15
chevrolet impala,454,220,4354,9,70,1,8,14
plymouth fury iii,440,215,4312,8.5,70,1,8,14
pontiac catalina,455,225,4425,10,70,1,8,14
amc ambassador dpl,390,190,3850,8.5,70,1,8,15
dodge challenger se,383,170,3563,10,70,1,8,15
plymouth 'cuda 340,340,160,3609,8,70,1,8,14
chevrolet monte carlo,400,150,3761,9.5,70,1,8,15
buick estate wagon (sw),455,225,3086,10,70,1,8,14
toyota corona mark ii,113,95,2372,15,70,3,4,24
plymouth duster,198,95,2833,15.5,70,1,6,22
amc hornet,199,97,2774,15.5,70,1,6,18
ford maverick,200,85,2587,16,70,1,6,21
datsun pl510,97,88,2130,14.5,70,3,4,27
volkswagen 1131 deluxe sedan,97,46,1835,20.5,70,2,4,26
peugeot 504,110,87,2672,17.5,70,2,4,25
audi 100 ls,107,90,2430,14.5,70,2,4,24
saab 99e,104,95,2375,17.5,70,2,4,25
bmw 2002,121,113,2234,12.5,70,2,4,26
amc gremlin,199,90,2648,15,70,1,6,21
ford f250,360,215,4615,14,70,1,8,10
chevy c20,307,200,4376,15,70,1,8,10
dodge d200,318,210,4382,13.5,70,1,8,11
hi 1200d,304,193,4732,18.5,70,1,8,9
datsun pl510,97,88,2130,14.5,71,3,4,27
chevrolet vega 2300,140,90,2264,15.5,71,1,4,28
toyota corona,113,95,2228,14,71,3,4,25
ford pinto,98,?,2046,19,71,1,4,25
amc gremlin,232,100,2634,13,71,1,6,19
plymouth satellite custom,225,105,3439,15.5,71,1,6,16
chevrolet chevelle malibu,250,100,3329,15.5,71,1,6,17
ford torino 500,250,88,3302,15.5,71,1,6,19
amc matador,232,100,3288,15.5,71,1,6,18
chevrolet impala,350,165,4209,12,71,1,8,14
pontiac catalina brougham,400,175,4464,11.5,71,1,8,14
ford galaxie 500,351,153,4154,13.5,71,1,8,14
plymouth fury iii,318,150,4096,13,71,1,8,14
dodge monaco (sw),383,180,4955,11.5,71,1,8,12
ford country squire (sw),400,170,4746,12,71,1,8,13
pontiac safari (sw),400,175,5140,12,71,1,8,13
amc hornet sportabout (sw),258,110,2962,13.5,71,1,6,18
chevrolet vega (sw),140,72,2408,19,71,1,4,22
pontiac firebird,250,100,3282,15,71,1,6,19
ford mustang,250,88,3139,14.5,71,1,6,18
mercury capri 2000,122,86,2220,14,71,1,4,23
opel 1900,116,90,2123,14,71,2,4,28
peugeot 304,79,70,2074,19.5,71,2,4,30
fiat 124b,88,76,2065,14.5,71,2,4,30
toyota corolla 1200,71,65,1773,19,71,3,4,31
datsun 1200,72,69,1613,18,71,3,4,35
volkswagen model 111,97,60,1834,19,71,2,4,27
plymouth cricket,91,70,1955,20.5,71,1,4,26
toyota corona hardtop,113,95,2278,15.5,72,3,4,24
dodge colt hardtop,97.5,80,2126,17,72,1,4,25
volkswagen type 3,97,54,2254,23.5,72,2,4,23
chevrolet vega,140,90,2408,19.5,72,1,4,20
ford pinto runabout,122,86,2226,16.5,72,1,4,21
chevrolet impala,350,165,4274,12,72,1,8,13
pontiac catalina,400,175,4385,12,72,1,8,14
plymouth fury iii,318,150,4135,13.5,72,1,8,15
ford galaxie 500,351,153,4129,13,72,1,8,14
amc ambassador sst,304,150,3672,11.5,72,1,8,17
mercury marquis,429,208,4633,11,72,1,8,11
buick lesabre custom,350,155,4502,13.5,72,1,8,13
oldsmobile delta 88 royale,350,160,4456,13.5,72,1,8,12
chrysler newport royal,400,190,4422,12.5,72,1,8,13
mazda rx2 coupe,70,97,2330,13.5,72,3,3,19
amc matador (sw),304,150,3892,12.5,72,1,8,15
chevrolet chevelle concours (sw),307,130,4098,14,72,1,8,13
ford gran torino (sw),302,140,4294,16,72,1,8,13
plymouth satellite custom (sw),318,150,4077,14,72,1,8,14
volvo 145e (sw),121,112,2933,14.5,72,2,4,18
volkswagen 411 (sw),121,76,2511,18,72,2,4,22
peugeot 504 (sw),120,87,2979,19.5,72,2,4,21
renault 12 (sw),96,69,2189,18,72,2,4,26
ford pinto (sw),122,86,2395,16,72,1,4,22
datsun 510 (sw),97,92,2288,17,72,3,4,28
toyouta corona mark ii (sw),120,97,2506,14.5,72,3,4,23
dodge colt (sw),98,80,2164,15,72,1,4,28
toyota corolla 1600 (sw),97,88,2100,16.5,72,3,4,27
buick century 350,350,175,4100,13,73,1,8,13
amc matador,304,150,3672,11.5,73,1,8,14
chevrolet malibu,350,145,3988,13,73,1,8,13
ford gran torino,302,137,4042,14.5,73,1,8,14
dodge coronet custom,318,150,3777,12.5,73,1,8,15
mercury marquis brougham,429,198,4952,11.5,73,1,8,12
chevrolet caprice classic,400,150,4464,12,73,1,8,13
ford ltd,351,158,4363,13,73,1,8,13
plymouth fury gran sedan,318,150,4237,14.5,73,1,8,14
chrysler new yorker brougham,440,215,4735,11,73,1,8,13
buick electra 225 custom,455,225,4951,11,73,1,8,12
amc ambassador brougham,360,175,3821,11,73,1,8,13
plymouth valiant,225,105,3121,16.5,73,1,6,18
chevrolet nova custom,250,100,3278,18,73,1,6,16
amc hornet,232,100,2945,16,73,1,6,18
ford maverick,250,88,3021,16.5,73,1,6,18
plymouth duster,198,95,2904,16,73,1,6,23
volkswagen super beetle,97,46,1950,21,73,2,4,26
chevrolet impala,400,150,4997,14,73,1,8,11
ford country,400,167,4906,12.5,73,1,8,12
plymouth custom suburb,360,170,4654,13,73,1,8,13
oldsmobile vista cruiser,350,180,4499,12.5,73,1,8,12
amc gremlin,232,100,2789,15,73,1,6,18
toyota carina,97,88,2279,19,73,3,4,20
chevrolet vega,140,72,2401,19.5,73,1,4,21
datsun 610,108,94,2379,16.5,73,3,4,22
maxda rx3,70,90,2124,13.5,73,3,3,18
ford pinto,122,85,2310,18.5,73,1,4,19
mercury capri v6,155,107,2472,14,73,1,6,21
fiat 124 sport coupe,98,90,2265,15.5,73,2,4,26
chevrolet monte carlo s,350,145,4082,13,73,1,8,15
pontiac grand prix,400,230,4278,9.5,73,1,8,16
fiat 128,68,49,1867,19.5,73,2,4,29
opel manta,116,75,2158,15.5,73,2,4,24
audi 100ls,114,91,2582,14,73,2,4,20
volvo 144ea,121,112,2868,15.5,73,2,4,19
dodge dart custom,318,150,3399,11,73,1,8,15
saab 99le,121,110,2660,14,73,2,4,24
toyota mark ii,156,122,2807,13.5,73,3,6,20
oldsmobile omega,350,180,3664,11,73,1,8,11
plymouth duster,198,95,3102,16.5,74,1,6,20
ford maverick,200,?,2875,17,74,1,6,21
amc hornet,232,100,2901,16,74,1,6,19
chevrolet nova,250,100,3336,17,74,1,6,15
datsun b210,79,67,1950,19,74,3,4,31
ford pinto,122,80,2451,16.5,74,1,4,26
toyota corolla 1200,71,65,1836,21,74,3,4,32
chevrolet vega,140,75,2542,17,74,1,4,25
chevrolet chevelle malibu classic,250,100,3781,17,74,1,6,16
amc matador,258,110,3632,18,74,1,6,16
plymouth satellite sebring,225,105,3613,16.5,74,1,6,18
ford gran torino,302,140,4141,14,74,1,8,16
buick century luxus (sw),350,150,4699,14.5,74,1,8,13
dodge coronet custom (sw),318,150,4457,13.5,74,1,8,14
ford gran torino (sw),302,140,4638,16,74,1,8,14
amc matador (sw),304,150,4257,15.5,74,1,8,14
audi fox,98,83,2219,16.5,74,2,4,29
volkswagen dasher,79,67,1963,15.5,74,2,4,26
opel manta,97,78,2300,14.5,74,2,4,26
toyota corona,76,52,1649,16.5,74,3,4,31
datsun 710,83,61,2003,19,74,3,4,32
dodge colt,90,75,2125,14.5,74,1,4,28
fiat 128,90,75,2108,15.5,74,2,4,24
fiat 124 tc,116,75,2246,14,74,2,4,26
honda civic,120,97,2489,15,74,3,4,24
subaru,108,93,2391,15.5,74,3,4,26
fiat x1.9,79,67,2000,16,74,2,4,31
plymouth valiant custom,225,95,3264,16,75,1,6,19
chevrolet nova,250,105,3459,16,75,1,6,18
mercury monarch,250,72,3432,21,75,1,6,15
ford maverick,250,72,3158,19.5,75,1,6,15
pontiac catalina,400,170,4668,11.5,75,1,8,16
chevrolet bel air,350,145,4440,14,75,1,8,15
plymouth grand fury,318,150,4498,14.5,75,1,8,16
ford ltd,351,148,4657,13.5,75,1,8,14
buick century,231,110,3907,21,75,1,6,17
chevroelt chevelle malibu,250,105,3897,18.5,75,1,6,16
amc matador,258,110,3730,19,75,1,6,15
plymouth fury,225,95,3785,19,75,1,6,18
buick skyhawk,231,110,3039,15,75,1,6,21
chevrolet monza 2+2,262,110,3221,13.5,75,1,8,20
ford mustang ii,302,129,3169,12,75,1,8,13
toyota corolla,97,75,2171,16,75,3,4,29
ford pinto,140,83,2639,17,75,1,4,23
amc gremlin,232,100,2914,16,75,1,6,20
pontiac astro,140,78,2592,18.5,75,1,4,23
toyota corona,134,96,2702,13.5,75,3,4,24
volkswagen dasher,90,71,2223,16.5,75,2,4,25
datsun 710,119,97,2545,17,75,3,4,24
ford pinto,171,97,2984,14.5,75,1,6,18
volkswagen rabbit,90,70,1937,14,75,2,4,29
amc pacer,232,90,3211,17,75,1,6,19
audi 100ls,115,95,2694,15,75,2,4,23
peugeot 504,120,88,2957,17,75,2,4,23
volvo 244dl,121,98,2945,14.5,75,2,4,22
saab 99le,121,115,2671,13.5,75,2,4,25
honda civic cvcc,91,53,1795,17.5,75,3,4,33
fiat 131,107,86,2464,15.5,76,2,4,28
opel 1900,116,81,2220,16.9,76,2,4,25
capri ii,140,92,2572,14.9,76,1,4,25
dodge colt,98,79,2255,17.7,76,1,4,26
renault 12tl,101,83,2202,15.3,76,2,4,27
chevrolet chevelle malibu classic,305,140,4215,13,76,1,8,17.5
dodge coronet brougham,318,150,4190,13,76,1,8,16
amc matador,304,120,3962,13.9,76,1,8,15.5
ford gran torino,351,152,4215,12.8,76,1,8,14.5
plymouth valiant,225,100,3233,15.4,76,1,6,22
chevrolet nova,250,105,3353,14.5,76,1,6,22
ford maverick,200,81,3012,17.6,76,1,6,24
amc hornet,232,90,3085,17.6,76,1,6,22.5
chevrolet chevette,85,52,2035,22.2,76,1,4,29
chevrolet woody,98,60,2164,22.1,76,1,4,24.5
vw rabbit,90,70,1937,14.2,76,2,4,29
honda civic,91,53,1795,17.4,76,3,4,33
dodge aspen se,225,100,3651,17.7,76,1,6,20
ford granada ghia,250,78,3574,21,76,1,6,18
pontiac ventura sj,250,110,3645,16.2,76,1,6,18.5
amc pacer d/l,258,95,3193,17.8,76,1,6,17.5
volkswagen rabbit,97,71,1825,12.2,76,2,4,29.5
datsun b-210,85,70,1990,17,76,3,4,32
toyota corolla,97,75,2155,16.4,76,3,4,28
ford pinto,140,72,2565,13.6,76,1,4,26.5
volvo 245,130,102,3150,15.7,76,2,4,20
plymouth volare premier v8,318,150,3940,13.2,76,1,8,13
peugeot 504,120,88,3270,21.9,76,2,4,19
toyota mark ii,156,108,2930,15.5,76,3,6,19
mercedes-benz 280s,168,120,3820,16.7,76,2,6,16.5
cadillac seville,350,180,4380,12.1,76,1,8,16.5
chevy c10,350,145,4055,12,76,1,8,13
ford f108,302,130,3870,15,76,1,8,13
dodge d100,318,150,3755,14,76,1,8,13
honda accord cvcc,98,68,2045,18.5,77,3,4,31.5
buick opel isuzu deluxe,111,80,2155,14.8,77,1,4,30
renault 5 gtl,79,58,1825,18.6,77,2,4,36
plymouth arrow gs,122,96,2300,15.5,77,1,4,25.5
datsun f-10 hatchback,85,70,1945,16.8,77,3,4,33.5
chevrolet caprice classic,305,145,3880,12.5,77,1,8,17.5
oldsmobile cutlass supreme,260,110,4060,19,77,1,8,17
dodge monaco brougham,318,145,4140,13.7,77,1,8,15.5
mercury cougar brougham,302,130,4295,14.9,77,1,8,15
chevrolet concours,250,110,3520,16.4,77,1,6,17.5
buick skylark,231,105,3425,16.9,77,1,6,20.5
plymouth volare custom,225,100,3630,17.7,77,1,6,19
ford granada,250,98,3525,19,77,1,6,18.5
pontiac grand prix lj,400,180,4220,11.1,77,1,8,16
chevrolet monte carlo landau,350,170,4165,11.4,77,1,8,15.5
chrysler cordoba,400,190,4325,12.2,77,1,8,15.5
ford thunderbird,351,149,4335,14.5,77,1,8,16
volkswagen rabbit custom,97,78,1940,14.5,77,2,4,29
pontiac sunbird coupe,151,88,2740,16,77,1,4,24.5
toyota corolla liftback,97,75,2265,18.2,77,3,4,26
ford mustang ii 2+2,140,89,2755,15.8,77,1,4,25.5
chevrolet chevette,98,63,2051,17,77,1,4,30.5
dodge colt m/m,98,83,2075,15.9,77,1,4,33.5
subaru dl,97,67,1985,16.4,77,3,4,30
volkswagen dasher,97,78,2190,14.1,77,2,4,30.5
datsun 810,146,97,2815,14.5,77,3,6,22
bmw 320i,121,110,2600,12.8,77,2,4,21.5
mazda rx-4,80,110,2720,13.5,77,3,3,21.5
volkswagen rabbit custom diesel,90,48,1985,21.5,78,2,4,43.1
ford fiesta,98,66,1800,14.4,78,1,4,36.1
mazda glc deluxe,78,52,1985,19.4,78,3,4,32.8
datsun b210 gx,85,70,2070,18.6,78,3,4,39.4
honda civic cvcc,91,60,1800,16.4,78,3,4,36.1
oldsmobile cutlass salon brougham,260,110,3365,15.5,78,1,8,19.9
dodge diplomat,318,140,3735,13.2,78,1,8,19.4
mercury monarch ghia,302,139,3570,12.8,78,1,8,20.2
pontiac phoenix lj,231,105,3535,19.2,78,1,6,19.2
chevrolet malibu,200,95,3155,18.2,78,1,6,20.5
ford fairmont (auto),200,85,2965,15.8,78,1,6,20.2
ford fairmont (man),140,88,2720,15.4,78,1,4,25.1
plymouth volare,225,100,3430,17.2,78,1,6,20.5
amc concord,232,90,3210,17.2,78,1,6,19.4
buick century special,231,105,3380,15.8,78,1,6,20.6
mercury zephyr,200,85,3070,16.7,78,1,6,20.8
dodge aspen,225,110,3620,18.7,78,1,6,18.6
amc concord d/l,258,120,3410,15.1,78,1,6,18.1
chevrolet monte carlo landau,305,145,3425,13.2,78,1,8,19.2
buick regal sport coupe (turbo),231,165,3445,13.4,78,1,6,17.7
ford futura,302,139,3205,11.2,78,1,8,18.1
dodge magnum xe,318,140,4080,13.7,78,1,8,17.5
chevrolet chevette,98,68,2155,16.5,78,1,4,30
toyota corona,134,95,2560,14.2,78,3,4,27.5
datsun 510,119,97,2300,14.7,78,3,4,27.2
dodge omni,105,75,2230,14.5,78,1,4,30.9
toyota celica gt liftback,134,95,2515,14.8,78,3,4,21.1
plymouth sapporo,156,105,2745,16.7,78,1,4,23.2
oldsmobile starfire sx,151,85,2855,17.6,78,1,4,23.8
datsun 200-sx,119,97,2405,14.9,78,3,4,23.9
audi 5000,131,103,2830,15.9,78,2,5,20.3
volvo 264gl,163,125,3140,13.6,78,2,6,17
saab 99gle,121,115,2795,15.7,78,2,4,21.6
peugeot 604sl,163,133,3410,15.8,78,2,6,16.2
volkswagen scirocco,89,71,1990,14.9,78,2,4,31.5
honda accord lx,98,68,2135,16.6,78,3,4,29.5
pontiac lemans v6,231,115,3245,15.4,79,1,6,21.5
mercury zephyr 6,200,85,2990,18.2,79,1,6,19.8
ford fairmont 4,140,88,2890,17.3,79,1,4,22.3
amc concord dl 6,232,90,3265,18.2,79,1,6,20.2
dodge aspen 6,225,110,3360,16.6,79,1,6,20.6
chevrolet caprice classic,305,130,3840,15.4,79,1,8,17
ford ltd landau,302,129,3725,13.4,79,1,8,17.6
mercury grand marquis,351,138,3955,13.2,79,1,8,16.5
dodge st. regis,318,135,3830,15.2,79,1,8,18.2
buick estate wagon (sw),350,155,4360,14.9,79,1,8,16.9
ford country squire (sw),351,142,4054,14.3,79,1,8,15.5
chevrolet malibu classic (sw),267,125,3605,15,79,1,8,19.2
chrysler lebaron town @ country (sw),360,150,3940,13,79,1,8,18.5
vw rabbit custom,89,71,1925,14,79,2,4,31.9
maxda glc deluxe,86,65,1975,15.2,79,3,4,34.1
dodge colt hatchback custom,98,80,1915,14.4,79,1,4,35.7
amc spirit dl,121,80,2670,15,79,1,4,27.4
mercedes benz 300d,183,77,3530,20.1,79,2,5,25.4
cadillac eldorado,350,125,3900,17.4,79,1,8,23
peugeot 504,141,71,3190,24.8,79,2,4,27.2
oldsmobile cutlass salon brougham,260,90,3420,22.2,79,1,8,23.9
plymouth horizon,105,70,2200,13.2,79,1,4,34.2
plymouth horizon tc3,105,70,2150,14.9,79,1,4,34.5
datsun 210,85,65,2020,19.2,79,3,4,31.8
fiat strada custom,91,69,2130,14.7,79,2,4,37.3
buick skylark limited,151,90,2670,16,79,1,4,28.4
chevrolet citation,173,115,2595,11.3,79,1,6,28.8
oldsmobile omega brougham,173,115,2700,12.9,79,1,6,26.8
pontiac phoenix,151,90,2556,13.2,79,1,4,33.5
vw rabbit,98,76,2144,14.7,80,2,4,41.5
toyota corolla tercel,89,60,1968,18.8,80,3,4,38.1
chevrolet chevette,98,70,2120,15.5,80,1,4,32.1
datsun 310,86,65,2019,16.4,80,3,4,37.2
chevrolet citation,151,90,2678,16.5,80,1,4,28
ford fairmont,140,88,2870,18.1,80,1,4,26.4
amc concord,151,90,3003,20.1,80,1,4,24.3
dodge aspen,225,90,3381,18.7,80,1,6,19.1
audi 4000,97,78,2188,15.8,80,2,4,34.3
toyota corona liftback,134,90,2711,15.5,80,3,4,29.8
mazda 626,120,75,2542,17.5,80,3,4,31.3
datsun 510 hatchback,119,92,2434,15,80,3,4,37
toyota corolla,108,75,2265,15.2,80,3,4,32.2
mazda glc,86,65,2110,17.9,80,3,4,46.6
dodge colt,156,105,2800,14.4,80,1,4,27.9
datsun 210,85,65,2110,19.2,80,3,4,40.8
vw rabbit c (diesel),90,48,2085,21.7,80,2,4,44.3
vw dasher (diesel),90,48,2335,23.7,80,2,4,43.4
audi 5000s (diesel),121,67,2950,19.9,80,2,5,36.4
mercedes-benz 240d,146,67,3250,21.8,80,2,4,30
honda civic 1500 gl,91,67,1850,13.8,80,3,4,44.6
renault lecar deluxe,85,?,1835,17.3,80,2,4,40.9
subaru dl,97,67,2145,18,80,3,4,33.8
vokswagen rabbit,89,62,1845,15.3,80,2,4,29.8
datsun 280-zx,168,132,2910,11.4,80,3,6,32.7
mazda rx-7 gs,70,100,2420,12.5,80,3,3,23.7
triumph tr7 coupe,122,88,2500,15.1,80,2,4,35
ford mustang cobra,140,?,2905,14.3,80,1,4,23.6
honda accord,107,72,2290,17,80,3,4,32.4
plymouth reliant,135,84,2490,15.7,81,1,4,27.2
buick skylark,151,84,2635,16.4,81,1,4,26.6
dodge aries wagon (sw),156,92,2620,14.4,81,1,4,25.8
chevrolet citation,173,110,2725,12.6,81,1,6,23.5
plymouth reliant,135,84,2385,12.9,81,1,4,30
toyota starlet,79,58,1755,16.9,81,3,4,39.1
plymouth champ,86,64,1875,16.4,81,1,4,39
honda civic 1300,81,60,1760,16.1,81,3,4,35.1
subaru,97,67,2065,17.8,81,3,4,32.3
datsun 210 mpg,85,65,1975,19.4,81,3,4,37
toyota tercel,89,62,2050,17.3,81,3,4,37.7
mazda glc 4,91,68,1985,16,81,3,4,34.1
plymouth horizon 4,105,63,2215,14.9,81,1,4,34.7
ford escort 4w,98,65,2045,16.2,81,1,4,34.4
ford escort 2h,98,65,2380,20.7,81,1,4,29.9
volkswagen jetta,105,74,2190,14.2,81,2,4,33
renault 18i,100,?,2320,15.8,81,2,4,34.5
honda prelude,107,75,2210,14.4,81,3,4,33.7
toyota corolla,108,75,2350,16.8,81,3,4,32.4
datsun 200sx,119,100,2615,14.8,81,3,4,32.9
mazda 626,120,74,2635,18.3,81,3,4,31.6
peugeot 505s turbo diesel,141,80,3230,20.4,81,2,4,28.1
volvo diesel,145,76,3160,19.6,81,2,6,30.7
toyota cressida,168,116,2900,12.6,81,3,6,25.4
datsun 810 maxima,146,120,2930,13.8,81,3,6,24.2
buick century,231,110,3415,15.8,81,1,6,22.4
oldsmobile cutlass ls,350,105,3725,19,81,1,8,26.6
ford granada gl,200,88,3060,17.1,81,1,6,20.2
chrysler lebaron salon,225,85,3465,16.6,81,1,6,17.6
chevrolet cavalier,112,88,2605,19.6,82,1,4,28
chevrolet cavalier wagon,112,88,2640,18.6,82,1,4,27
chevrolet cavalier 2-door,112,88,2395,18,82,1,4,34
pontiac j2000 se hatchback,112,85,2575,16.2,82,1,4,31
dodge aries se,135,84,2525,16,82,1,4,29
pontiac phoenix,151,90,2735,18,82,1,4,27
ford fairmont futura,140,92,2865,16.4,82,1,4,24
amc concord dl,151,?,3035,20.5,82,1,4,23
volkswagen rabbit l,105,74,1980,15.3,82,2,4,36
mazda glc custom l,91,68,2025,18.2,82,3,4,37
mazda glc custom,91,68,1970,17.6,82,3,4,31
plymouth horizon miser,105,63,2125,14.7,82,1,4,38
mercury lynx l,98,70,2125,17.3,82,1,4,36
nissan stanza xe,120,88,2160,14.5,82,3,4,36
honda accord,107,75,2205,14.5,82,3,4,36
toyota corolla,108,70,2245,16.9,82,3,4,34
honda civic,91,67,1965,15,82,3,4,38
honda civic (auto),91,67,1965,15.7,82,3,4,32
datsun 310 gx,91,67,1995,16.2,82,3,4,38
buick century limited,181,110,2945,16.4,82,1,6,25
oldsmobile cutlass ciera (diesel),262,85,3015,17,82,1,6,38
chrysler lebaron medallion,156,92,2585,14.5,82,1,4,26
ford granada l,232,112,2835,14.7,82,1,6,22
toyota celica gt,144,96,2665,13.9,82,3,4,32
dodge charger 2.2,135,84,2370,13,82,1,4,36
chevrolet camaro,151,90,2950,17.3,82,1,4,27
ford mustang gl,140,86,2790,15.6,82,1,4,27
vw pickup,97,52,2130,24.6,82,2,4,44
dodge rampage,135,84,2295,11.6,82,1,4,32
ford ranger,120,79,2625,18.6,82,1,4,28
chevy s-10,119,82,2720,19.4,82,1,4,31
